accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_002786855.1	Cytophagales bacterium CG12_big_fil_rev_8_21_14_0_65_40_12	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Roseivirga; s__Roseivirga sp002786855	True	False
GCA_003030575.1	Marivirga lumbricoides	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Marivirgaceae; g__Marivirga; s__Marivirga lumbricoides	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Marivirga; s__Marivirga lumbricoides	False	False
GCA_003149655.1	Roseivirga sp. XM-24bin3	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Roseivirgaceae; g__Roseivirga; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Fabibacter; s__Fabibacter spongicola	False	False
GCA_003228395.1	Flammeovirgaceae bacterium	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__SZUA-230; s__SZUA-230 sp003228395	True	False
GCA_003229495.1	Flammeovirgaceae bacterium	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__SZUA-3; s__SZUA-3 sp003229495	True	False
GCA_003232185.1	Flammeovirgaceae bacterium	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__SZUA-3; s__SZUA-3 sp003232185	True	False
GCA_003242315.1	Bacteroidetes bacterium	d__Bacteria; p__Bacteroidetes; c__; o__; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__ZC4RG29; s__ZC4RG29 sp003242315	True	False
GCA_003448455.1	Algoriphagus sp.	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cyclobacteriaceae; g__Algoriphagus; s__	Undefined (Failed Quality Check)	False	False
GCA_003449895.1	Algoriphagus sp.	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cyclobacteriaceae; g__Algoriphagus; s__	Undefined (Failed Quality Check)	False	False
GCA_003482985.1	Algoriphagus sp.	d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cyclobacteriaceae; g__Algoriphagus; s__	Undefined (Failed Quality Check)	False	False
