accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_002762915.1	Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_32_9	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__21-14-0-10-32-9; g__21-14-0-10-32-9; s__21-14-0-10-32-9 sp002762915	True	False
GCA_002762985.1	Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_44_13	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__UBA12501; g__1-14-0-10-44-13; s__1-14-0-10-44-13 sp002762985	True	False
GCA_002763025.1	Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_32_24	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__GW2011-AR9; g__1-14-0-10-32-24; s__1-14-0-10-32-24 sp002763025	True	False
GCA_002763335.1	Candidatus Woesearchaeota archaeon CG08_land_8_20_14_0_20_47_9	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__CG1-02-47-18; g__CG1-02-47-18; s__CG1-02-47-18 sp002763335	True	False
GCA_002779235.1	Candidatus Woesearchaeota archaeon CG07_land_8_20_14_0_80_44_23	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__0-14-0-80-44-23; g__0-14-0-80-44-23; s__0-14-0-80-44-23 sp002779235	True	False
GCA_002780105.1	Candidatus Woesearchaeota archaeon CG06_land_8_20_14_3_00_33_13	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__CG1-02-33-12; g__CG1-02-33-12; s__CG1-02-33-12 sp002762865	False	False
GCA_002792055.1	Candidatus Woesearchaeota archaeon CG_4_10_14_0_2_um_filter_33_10	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__CG1-02-33-12; g__CG1-02-33-12; s__CG1-02-33-12 sp002762865	False	False
GCA_002792115.1	Candidatus Woesearchaeota archaeon CG_4_10_14_0_2_um_filter_33_13	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__GW2011-AR9; g__GCA-002792115; s__GCA-002792115 sp002792115	True	False
GCA_002794135.1	Candidatus Woesearchaeota archaeon CG08_land_8_20_14_0_20_43_7	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__CG08-08-20-14; g__CG08-08-20-14; s__CG08-08-20-14 sp002762705	False	False
GCA_002867475.1	Candidatus Woesearchaeota archaeon	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__BM511; g__BM511; s__BM511 sp002867475	True	False
GCA_003557205.1	Candidatus Woesearchaeota archaeon	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__21-14-0-10-32-9; g__PWWA01; s__PWWA01 sp007131205	False	False
GCA_003560545.1	Candidatus Woesearchaeota archaeon	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__21-14-0-10-32-9; g__PWWA01; s__PWWA01 sp003560545	True	False
GCA_003561825.1	Candidatus Woesearchaeota archaeon	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__CG1-02-33-12; g__PWVO01; s__PWVO01 sp003561825	True	False
GCA_003562145.1	Candidatus Woesearchaeota archaeon	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__21-14-0-10-32-9; g__PWWA01; s__PWWA01 sp003562145	True	False
GCA_003564925.1	Candidatus Woesearchaeota archaeon	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__PXDW01; g__PXDW01; s__PXDW01 sp003564925	True	False
GCA_003599055.1	Candidatus Woesearchaeota archaeon	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__ARS49; g__SURF-65; s__SURF-65 sp003599055	True	False
