bins	profileElos1	profileElos10	profileElos12	profileElos2	profileElos3	profileElos7
bin129	0.7307408408190703	0.3017432535500457	0.10556551789836573	0.17291108843704522	0.999983523689639	0.9997231979859358
bin13	0.3424627719774328	0.14987928629214628	0.9996533594932785	0.7830709907017532	0.0005695945845516181	0.008147379015562195
bin130	0.7576241251357511	0.9949810567462414	0.4143737673631906	0.9797621884603064	0.025046204735175787	0.019619414515801133
bin131	0.9994974763687446	0.10496625504869013	0.006014375765308412	0.9992188857517419	0.002560341585543635	0.044536156820004356
bin132	0.8776789060806692	0.30572190509035563	0.28078683828909257	0.9107663973540545	0.005549109136870441	0.0016537159512339404
bin133	0.6797656913805135	0.8118909840005285	0.9912314604386852	0.9988982377118576	0.06470594488455035	0.08237324608327683
bin134	0.2253366516914624	0.37262920832764623	0.014781601117477429	0.9998228531103799	0.0361804371752912	0.01462768660682393
bin135	0.6309276113724284	0.999716929666743	0.8703170426615766	0.9997682556062896	0.02381951311125014	0.1185217040678529
bin136	0.0009785544082605243	0.9931134887632574	0.17136513572863618	0.24974667102742606	0.00012858010559267392	0.0003674251273186002
bin137	0.771119199306823	0.662031693362169	0.005272040740059297	0.31425335463116405	0.8013431894159373	0.8930770802787732
bin138	0.0203914751805147	0.5632351088231059	0.9997036421797536	0.5398739482833104	0.0007000730287383514	0.007095873361996256
bin139	0.2629356110300893	0.22388393265763154	0.0011204913381214188	0.03963518815711592	0.9983417643505269	0.9990015499240293
bin14	0.1516495700674305	0.015615439233589795	0.0007115702238532448	0.006815125161215129	0.9344626954709475	0.9976275880683169
bin140	0.9987415447538147	0.1844697047417773	0.35596132670224223	0.7157019649684361	0.7368150244404424	0.775018768976132
bin141	0.7936226983330251	0.05671611232927377	0.004009754841095818	0.9985024304546535	0.04391990066837503	0.01562541278102132
bin142	0.39115949255286375	0.01941966981419725	0.0009677351211721553	0.01087745436240086	0.9997748062835823	0.9713740922002861
bin143	0.23970759247332615	0.23550779516695955	0.011158206526669318	0.005077602763989165	0.9609611569545713	0.9997773161277717
bin144	0.9977015595762503	0.9991801537974966	0.48662748357801117	0.99899285152444	0.9982299707334502	0.9997878608075235
bin145	0.1509129782648641	0.9931927246621646	0.5702385751300134	0.7304729197499299	0.001861139559827532	0.005173187397353154
bin146	0.9995299845465759	0.9663560473938536	0.998997853621244	0.9995790230770295	0.1616483484703122	0.38017233899958885
bin147	0.03492034430143585	0.012703026075251563	0.9999941186142535	0.006594056271564549	0.006257794434316812	0.033133681596607005
bin148	0.9949106057923853	0.005806141475462024	0.010120155707424291	0.6570851049995283	0.940758038224767	0.24008064252427339
bin149	0.005766325961353382	0.027275863643926517	1.0	0.0024280555002756743	0.0002976957533089087	0.00044858264197232816
bin15	0.9736679342643842	0.9919079546298284	0.8620135089316444	0.993881222789839	0.055888843006492585	0.09154738970820868
bin150	0.9984832487953484	0.036150705057364084	0.00798511082325004	0.999270984661024	0.038530060799233344	0.2307405480504198
bin151	0.9994123032549623	0.9417711269665899	0.5443569065983802	0.9994316636894621	0.9926309883975067	0.9895359002688089
bin152	0.18884664506406706	0.011649665487279501	0.9935772227667411	0.22392088291112702	0.0010972475342409579	0.06854545985200827
bin153	0.9929522704260823	0.985507305185271	0.08150656538723323	0.9517215574457234	0.06633493929021675	0.9087489874227926
bin154	0.5132720684834192	0.9567791159660862	0.9996821061441097	0.9979230738153662	0.22062629807886538	0.02377067526493858
bin155	0.3399869867772423	0.07093860626178634	0.8274305134341307	0.9993162543974767	0.017653318923210957	0.009125798162709397
bin156	0.8671567133622622	0.9947934905053748	0.33899426245670927	0.9999240366093847	0.0525867220607803	0.5983904280448319
bin156-removed	0.8832373980529441	0.9924071908428636	0.32454373788152624	0.9995382956426652	0.055177720739739484	0.6744700778113594
bin157	0.01305599378871634	0.7687534055933409	0.9879556364398765	0.989145070590009	0.0015142967317787097	0.005306335783446677
bin158	0.9980290025701807	0.9964672476411919	0.9667710676063899	0.9949214419327845	0.9423654977760806	0.9984275518435758
bin159	0.02671787367524037	0.8275285227793426	0.9731555226514537	0.08115681053856688	0.002040118583298469	0.02378124684695801
bin16	0.2696951215429823	0.999697445695647	0.9440252219980253	0.9997427172564669	0.002287170262833292	0.02904298152123284
bin160	0.055446158425015005	0.055699113593958786	0.00031592485993616647	0.0030129920734883204	0.9993481022374826	0.7618168747200507
bin161	0.998924930429999	0.021841039099104082	0.027868031805551485	0.370876716139126	0.9954112481578342	0.7486128300989766
bin162	0.06937171783114615	0.9461729611872499	0.8236600749759733	0.5206799179380123	0.0020476096521336693	0.004210692850369015
bin163	0.7381840327203443	0.12079447644640742	0.009031500869891696	0.8022522582447551	0.009058477120444155	0.8395064602577008
bin164	0.9214768511251654	0.18560037343329336	0.01341131089775735	0.4556572198532589	0.7613005888210864	0.9865521511002971
bin165	0.16954017083213294	0.8240073857425855	0.10522356721905932	0.988701147682669	0.03368291015628787	0.3963745185676902
bin166	0.08937330678749031	0.062462838236786986	0.01986725697329049	0.0030668597524551797	0.5815404185320923	0.9955481847795086
bin167	0.1460434844792559	0.7056865126105873	0.6889301943399383	0.9710342763456162	0.0010083389520895423	0.002840025865605978
bin168	0.6504208932093547	0.11069689525218371	0.8271685245843899	0.9982565511411665	0.01578019336432798	0.01791217596506058
bin169	0.7221275683161767	0.9819556409938401	0.03198819711439084	0.058426867584439206	0.003619930546942825	0.9476820558931746
bin17	0.036228727403050776	0.9640395620325801	0.07691942588474174	0.8382661181816975	0.0011853807598262514	0.015266754916594969
bin170	0.9999985123143182	0.1656116495706787	0.050196498483800346	0.9999201608684117	0.014890741884054736	0.457336893861065
bin171	0.9975924535613994	0.6845792460968083	0.2850866413717179	0.8560615667531154	0.4276608232417261	0.19049916936655267
bin172	0.991511429324211	0.6331052573414122	0.22249947127583244	0.883073141204975	0.007918053457332474	0.040648089608789
bin173	0.9937100345630756	0.9975487956543648	0.9967647385500579	0.9997857931916705	0.2299623619761303	0.6609434510440325
bin174	0.19922716069365054	0.9917392407808991	0.9801521565233572	0.9951778747084236	0.010499229527988862	0.014959103598894309
bin175	0.9969823641595107	0.5205128468784194	0.1839100552174736	0.9993854644189343	0.6356281841985724	0.5178024788284629
bin176	0.024223438864680105	0.1152704688690778	0.9979601504827162	0.04384538193607556	0.0031506550825859004	0.0064545247259031255
bin177	0.3122425851340893	0.9488030005507262	0.004715229376262366	0.006646022706074794	0.22424242631683972	0.986882516650996
bin178	0.4181669015661797	0.9157244540178379	0.0012957009506052455	0.007361358289736874	0.007448028288590594	0.9196600175141739
