accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_003552565.1	Lentisphaerae bacterium	d__Bacteria; p__Lentisphaerae; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__UBA1407; f__PUNB01; g__PUNB01; s__PUNB01 sp003552565	True	False
GCA_003557425.1	Lentisphaerae bacterium	d__Bacteria; p__Lentisphaerae; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__UBA1407; f__PUNB01; g__SLSR01; s__SLSR01 sp007130365	False	False
GCA_003557695.1	Lentisphaerae bacterium	d__Bacteria; p__Lentisphaerae; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__UBA1407; f__PUNB01; g__SLNM01; s__SLNM01 sp007133055	False	False
GCA_004525935.1	Lentisphaerales bacterium	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__Lentisphaerales; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellae; o__SPBP01; f__SPBP01; g__SPBP01; s__SPBP01 sp004525935	True	False
GCA_004551905.1	Lentisphaeraceae bacterium	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__Lentisphaerales; f__Lentisphaeraceae; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellae; o__RFP12; f__UBA1067; g__UBA1067; s__UBA1067 sp004551905	True	False
GCA_004555175.1	Lentisphaeraceae bacterium	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__Lentisphaerales; f__Lentisphaeraceae; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellae; o__RFP12; f__UBA1067; g__Spyradenecus; s__Spyradenecus sp004555175	True	False
GCA_004557165.1	Lentisphaeraceae bacterium	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__Lentisphaerales; f__Lentisphaeraceae; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__UBA1407; f__UBA1407; g__UBA1724; s__UBA1724 sp900548225	False	False
GCA_007130365.1	Lentisphaeria bacterium	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__UBA1407; f__PUNB01; g__SLSR01; s__SLSR01 sp007130365	True	False
GCA_007133055.1	Lentisphaeria bacterium	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__UBA1407; f__PUNB01; g__SLNM01; s__SLNM01 sp007133055	True	False
GCA_011087915.1	Lentisphaeria bacterium	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__; f__; g__; s__	Undefined (Failed Quality Check)	False	False
