accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_012523235.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp002427325	False	False
GCA_012728875.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Syntrophosphaera; s__Syntrophosphaera sp012728875	True	False
GCA_012839325.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp012839325	True	False
GCA_012842985.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA3900; s__UBA3900 sp002391675	False	False
GCA_013203665.1	Armatimonadetes bacterium	d__Bacteria; p__Armatimonadetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__TCS61; g__JABMPU01; s__JABMPU01 sp013203665	True	False
GCA_014382915.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__TCS61; g__JACNIV01; s__JACNIV01 sp014382915	True	False
GCA_016342615.1	bacterium	d__Bacteria; p__; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__JAFGVF01; g__JAEKNW01; s__JAEKNW01 sp016838885	False	False
GCA_016782665.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__TCS61; g__JACNIV01; s__JACNIV01 sp014382915	False	False
GCA_016838885.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__JAFGVF01; g__JAEKNW01; s__JAEKNW01 sp016838885	True	False
GCA_016875595.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__VGPI01; s__VGPI01 sp016875595	True	False
GCA_016927675.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__TCS61; g__JAFGMF01; s__JAFGMF01 sp016927675	True	False
GCA_016931665.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__TCS61; g__JAFGEH01; s__JAFGEH01 sp016931665	True	False
GCA_016935235.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__TCS61; g__JAFGRJ01; s__JAFGRJ01 sp016935235	True	False
GCA_016938155.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__JAFGVF01; g__JAFGVF01; s__JAFGVF01 sp016938155	True	False
GCA_017994635.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp017994635	True	False
