k_number	Elos10	Elos12	Elos01	Elos02	Elos03	Elos07
K13584	15.911532070274374	6.657866619484306	20.863388099212216	7.377711822928026	47.02548443342183	48.077696302840245
K13585	0.7603627044703678	0.13566437429207476	0.2501528995095006	0.1569498205150059	5.256927042269172	4.6268781785619355
K13586	1.1937992200769962	1.8328256415400521	4.066246621981903	0.43119355939684556	5.837485819407244	7.793415631253857
K13587	675.1327492930056	475.56361682243875	208.82274285726842	692.4182607752056	176.77807257810755	214.7960914580386
K13588	11.085122052732299	5.148402619647905	15.459664369401713	4.813538229088202	38.42415444022794	28.880163096780688
K13589	5.781322919726776	7.387168097795745	11.766978620583963	1.5908765560781524	10.74197440642302	15.197017504668924
K13590	16.890718002860254	13.644918285381518	29.80085532240468	15.695151039719969	24.47882755602152	36.31944387047527
K13591	0.12323005616287881	0.0	0.0	0.0	0.25336968407928956	0.4561338169568942
K13592	1.8856640241377165	4.27922913655844	15.003998176230658	0.5567518063972372	9.657460887192444	11.94522551032832
K13593	0.9532763536387784	0.1309273433780106	0.3633166891622077	0.1271676586135479	6.67946868860384	7.513748900701832
K13598	106.81646086060246	105.83869864146875	57.741926445458645	81.08920897603447	142.3322101482977	146.21030269615295
K13599	68.85600006705671	62.96170596467998	31.619618342433043	47.11888059836517	97.65587291579376	95.74742836505715
K13606	1.2061216401660766	1.963292516837359	0.1262634566139777	1.462957838711798	0.0	0.0
K13609	1.7553871480284338	1.9039665813618034	1.839966184674477	0.8704690474444247	3.4767732574203083	15.298892051008607
K13617	0.0	0.0	0.0	0.0	0.26093465938719973	0.08333107627688618
K13622	22.24385658603477	17.167173742083964	15.072959385961749	7.755480963826146	48.58801276316474	50.35257326859445
K13623	20.607243632117513	17.46133012683665	15.24948452771325	9.514262068799523	48.059387485644166	50.250082581396455
K13626	50.12622600580313	30.36013847031409	39.14378445957861	59.80677898008529	28.98007278861855	45.102907019763606
K13628	41.659804126888815	65.4587113172856	43.115433486557755	23.208774991026363	104.09879588903856	90.19094174207868
K13633	4.4177559410074485	0.7897027584066028	0.1447259501966563	0.9474820754866438	6.373204518383453	6.379425681299071
K13634	2.1530069643312357	1.701349596676652	1.693612498082718	0.0	4.341880144197686	8.200380617792904
K13637	2.8482853920136875	0.0	0.21728336479610594	0.0	10.4300135974848	2.2715711330720834
K13638	0.1086094417830105	0.0	0.0	0.0	0.0	0.0
K13639	0.9687459824700208	1.0165673856169464	0.0	0.2506202587533932	2.3892493920332303	1.8193158438258754
K13640	3.8772382096302835	2.5814006041875266	0.6186601974492658	4.020532844937682	0.14337918932179816	1.1098177966115705
K13641	10.99879777647984	10.166539646452943	18.117793086895198	10.648851656079035	10.66631794878678	18.00320142171555
K13642	0.5726134052751426	2.162052047361407	4.983208494832668	0.5874191446859311	0.9982772704251626	0.5929210371240814
K13643	37.84713785773958	20.51582721777337	49.81056327325972	40.406526359842864	38.32154566288315	53.30993089988785
K13649	0.0	0.0	0.0	0.0	0.1583683442376486	0.0
K13651	1.966695134431268	2.5421008942817314	8.209856091948115	0.9970546355245475	0.43400833228837843	1.9276519699361125
K13652	16.010790642548113	10.98760662293142	4.2112003441655865	12.224881390025818	3.6532930726921804	7.497429067198213
K13653	0.4494272636528521	0.8151746394218091	1.7999264618816309	2.8663030712722852	0.4030086949188001	1.2448039896544474
K13654	0.7224117584939496	0.0	0.0	0.4600503096207387	0.1879086230027762	0.3732075768208892
K13655	17.48109337598535	11.101314665926239	12.944054250815967	21.502468751699944	2.9097062841031693	6.606086524741872
K13657	0.0	0.22588578787711147	2.3960279735912584	1.3904431161283508	0.0	0.0
K13658	18.26218959888548	64.70451698967723	37.19136372647934	18.907582219575726	43.462099471996204	55.58107152428331
K13659	0.3338676139127316	0.2699666453993138	2.917781375486347	0.5290001854810447	0.0	0.1320259521883363
K13660	0.0	0.0	2.4708964405468956	0.4253031128926934	0.0	0.0
