Cycle	Pathway	k_number	Detail	Elos10	Elos12	Elos01	Elos02	Elos03	Elos07
Carbon fixation	Wood-Ljungdahl pathway	K05299	fdhA; formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10]	7.806857683	6.869362091	5.614385041	16.90785074	0.688714458	0.62888826
Carbon fixation	Wood-Ljungdahl pathway	K15022	fdhB; formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10]	10.08756228	6.011328075	4.252247449	17.21833843	0	3.809806282
Carbon fixation	Wood-Ljungdahl pathway	K01938	fhs; formate--tetrahydrofolate ligase [EC:6.3.4.3]	7.901013386	12.26667666	20.15204507	15.32203042	16.0171736	11.62726128
Carbon fixation	Wood-Ljungdahl pathway	K01491	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	96.65476791	116.7101598	112.8077691	115.0719057	130.9500444	127.5259595
Carbon fixation	Wood-Ljungdahl pathway	K00297	metF. MTHFR; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	148.8479401	143.5621546	81.96681427	185.1541931	133.8907123	139.3564466
Carbon fixation	Wood-Ljungdahl pathway	K15023	acsE; 5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258]	53.4828954	47.59081269	18.70436521	68.66899598	0	5.289494226
Carbon fixation	Wood-Ljungdahl pathway	K14138	acsB; acetyl-CoA synthase [EC:2.3.1.169]	13.96754954	19.04025312	5.434256287	31.56350159	0	1.290420136
Carbon fixation	Wood-Ljungdahl pathway	K00197	cdhE. acsC; acetyl-CoA decarbonylase/synthase. CODH/ACS complex subunit gamma [EC:2.1.1.245]	21.91582961	26.58565404	5.863486115	38.43316509	0	1.818379784
Carbon fixation	Wood-Ljungdahl pathway	K00194	cdhD. acsD; acetyl-CoA decarbonylase/synthase. CODH/ACS complex subunit delta [EC:2.1.1.245]	22.0503984	25.88072704	5.990921764	38.7756452	0	1.495231677
Carbon fixation	3-hydroxypropionate bicycle	K01961	accC; acetyl-CoA carboxylase. biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]	77.02176836	112.1574402	54.80588442	80.96009661	151.4670933	131.7854973
Carbon fixation	3-hydroxypropionate bicycle	K01962	accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]	69.16552731	85.52638729	52.40744355	57.77978138	107.1757272	104.5704845
Carbon fixation	3-hydroxypropionate bicycle	K01963	accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]	73.33696953	88.14080924	55.64672971	61.70571838	103.636139	110.8876622
Carbon fixation	3-hydroxypropionate bicycle	K02160	accB. bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein	85.07812797	94.60317545	57.97403721	68.90255111	117.4847035	113.3991787
Carbon fixation	3-hydroxypropionate bicycle	K14468	mcr; malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.2.1.75 1.1.1.298]	0	0	0	0	3.716910381	0.748802699
Carbon fixation	3-hydroxypropionate bicycle	K14469	K14469; acrylyl-CoA reductase (NADPH) / 3-hydroxypropionyl-CoA dehydratase / 3-hydroxypropionyl-CoA synthetase [EC:1.3.1.84 4.2.1.116 6.2.1.36]	1.754696226	0	2.167748592	1.66601462	9.077925672	12.86718946
Carbon fixation	3-hydroxypropionate bicycle	K15052	K15052; propionyl-CoA carboxylase [EC:6.4.1.3 2.1.3.15]						
Carbon fixation	3-hydroxypropionate bicycle	K05606	MCEE. epi; methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]	116.8187235	150.9735786	142.5637144	146.9694353	163.6276805	152.6049364
Carbon fixation	3-hydroxypropionate bicycle	K01847	MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]	45.53562829	41.26740582	22.83520464	30.68177203	76.28016918	63.0057466
Carbon fixation	3-hydroxypropionate bicycle	K01848	E5.4.99.2A. mcmA1; methylmalonyl-CoA mutase. N-terminal domain [EC:5.4.99.2]	22.61922051	90.39631425	72.31361709	78.99223953	46.97646518	41.55877199
Carbon fixation	3-hydroxypropionate bicycle	K01849	E5.4.99.2B. mcmA2; methylmalonyl-CoA mutase. C-terminal domain [EC:5.4.99.2]	33.63215292	90.58757119	83.99628304	100.2560379	38.65334526	39.28178
Carbon fixation	3-hydroxypropionate bicycle	K14471	smtA1; succinyl-CoA:(S)-malate CoA-transferase subunit A [EC:2.8.3.22]						
Carbon fixation	3-hydroxypropionate bicycle	K14472	smtB; succinyl-CoA:(S)-malate CoA-transferase subunit B [EC:2.8.3.22]						
Carbon fixation	3-hydroxypropionate bicycle	K00239	sdhA. frdA; succinate dehydrogenase / fumarate reductase. flavoprotein subunit [EC:1.3.5.1 1.3.5.4]	68.60354416	89.75273704	77.92849657	50.06139199	104.8794656	113.5851032
Carbon fixation	3-hydroxypropionate bicycle	K00240	sdhB. frdB; succinate dehydrogenase / fumarate reductase. iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	159.9637935	191.1655461	182.1979383	123.5646715	234.8886684	247.8127636
Carbon fixation	3-hydroxypropionate bicycle	K00241	sdhC. frdC; succinate dehydrogenase / fumarate reductase. cytochrome b subunit	112.515201	139.0810226	133.5746467	81.16289589	163.7243065	166.9287204
Carbon fixation	3-hydroxypropionate bicycle	K01679	E4.2.1.2B. fumC. FH; fumarate hydratase. class II [EC:4.2.1.2]	69.91919159	89.80665317	74.10947884	63.69831212	121.7016554	114.2703604
Carbon fixation	3-hydroxypropionate bicycle	K08691	mcl; malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]	13.6260203	5.185179406	9.552721952	4.644922857	24.58709721	39.0663657
Carbon fixation	3-hydroxypropionate bicycle	K14449	mch. mcd; 2-methylfumaryl-CoA hydratase [EC:4.2.1.148]	12.17043186	7.856958589	25.55062819	9.417152854	35.42924664	38.91789945
Carbon fixation	3-hydroxypropionate bicycle	K14470	mct; 2-methylfumaryl-CoA isomerase [EC:5.4.1.3]	9.252181826	2.833833618	10.00114759	3.11346846	28.1633147	42.53251942
Carbon fixation	3-hydroxypropionate bicycle	K09709	meh; 3-methylfumaryl-CoA hydratase [EC:4.2.1.153]	12.83502574	9.391751091	18.88830313	4.35106039	31.92219114	35.67375392
Carbon fixation	Hydroxypropionate-hydroxybutylate cycle	K01964	K01964; acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3]						
Carbon fixation	Hydroxypropionate-hydroxybutylate cycle	K15036	K15036; acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3 2.1.3.15]						
Carbon fixation	Hydroxypropionate-hydroxybutylate cycle	K15037	K15037; biotin carboxyl carrier protein						
Carbon fixation	Hydroxypropionate-hydroxybutylate cycle	K15017	K15017; malonyl-CoA/succinyl-CoA reductase (NADPH) [EC:1.2.1.75 1.2.1.76]						
Carbon fixation	Hydroxypropionate-hydroxybutylate cycle	K15039	K15039; 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.1.1.298]						
Carbon fixation	Hydroxypropionate-hydroxybutylate cycle	K15018	K15018; 3-hydroxypropionyl-coenzyme A synthetase [EC:6.2.1.36]						
Carbon fixation	Hydroxypropionate-hydroxybutylate cycle	K15019	K15019; 3-hydroxypropionyl-coenzyme A dehydratase [EC:4.2.1.116]						
Carbon fixation	Hydroxypropionate-hydroxybutylate cycle	K15020	K15020; acryloyl-coenzyme A reductase [EC:1.3.1.84]						
Carbon fixation	Hydroxypropionate-hydroxybutylate cycle	K05606	MCEE. epi; methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]	116.8187235	150.9735786	142.5637144	146.9694353	163.6276805	152.6049364
Carbon fixation	Hydroxypropionate-hydroxybutylate cycle	K01848	E5.4.99.2A. mcmA1; methylmalonyl-CoA mutase. N-terminal domain [EC:5.4.99.2]	22.61922051	90.39631425	72.31361709	78.99223953	46.97646518	41.55877199
Carbon fixation	Hydroxypropionate-hydroxybutylate cycle	K01849	E5.4.99.2B. mcmA2; methylmalonyl-CoA mutase. C-terminal domain [EC:5.4.99.2]	33.63215292	90.58757119	83.99628304	100.2560379	38.65334526	39.28178
Carbon fixation	Hydroxypropionate-hydroxybutylate cycle	K15038	K15038; succinyl-CoA reductase [EC:1.2.1.76]						
Carbon fixation	Hydroxypropionate-hydroxybutylate cycle	K15017	K15017; malonyl-CoA/succinyl-CoA reductase (NADPH) [EC:1.2.1.75 1.2.1.76]						
Carbon fixation	Hydroxypropionate-hydroxybutylate cycle	K14465	K14465; succinate semialdehyde reductase (NADPH) [EC:1.1.1.-]						
Carbon fixation	Hydroxypropionate-hydroxybutylate cycle	K14466	K14466; 4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40]	3.94681348	3.272778262	3.602025091	8.911660808	0	0.501114074
Carbon fixation	Hydroxypropionate-hydroxybutylate cycle	K18861	K18861; 4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40]						
Carbon fixation	Hydroxypropionate-hydroxybutylate cycle	K14534	abfD; 4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:4.2.1.120 5.3.3.3]	21.9026933	23.37661614	6.840370539	41.39955478	0.908190371	2.768305078
Carbon fixation	Hydroxypropionate-hydroxybutylate cycle	K15016	K15016; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35]	6.047023456	33.38275021	58.19743709	22.03136164	32.50426738	27.95023868
Carbon fixation	Hydroxypropionate-hydroxybutylate cycle	K00626	E2.3.1.9. atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	309.9300203	352.4077973	209.1375015	263.5579164	408.3192137	425.9758804
Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	57.01773779	71.56951428	73.85382794	94.48283703	36.34811067	59.65672284
Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	44.86436819	52.74851291	20.83873687	76.9150417	5.254759235	17.06146764
Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	35.35628462	39.83494477	19.43788916	65.65387062	1.862485747	1.580910803
Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	K00172	porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	65.80071031	75.11592639	30.97495325	93.96353087	27.31220246	46.10276935
Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	K01007	pps. ppsA; pyruvate. water dikinase [EC:2.7.9.2]	129.6590102	168.1329906	156.7365745	146.3465984	105.0876644	135.6562561
Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	K01595	ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]	153.448603	288.9325894	340.804343	103.8914225	291.6268839	307.0022443
Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	K00024	mdh; malate dehydrogenase [EC:1.1.1.37]	76.95201451	76.23153577	31.75291125	45.53309247	108.7254297	107.2028061
Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	K01676	E4.2.1.2A. fumA. fumB; fumarate hydratase. class I [EC:4.2.1.2]	36.45387001	16.62318999	10.98375594	23.29211301	3.462266831	15.60687559
