ko:K05048    SLC6A15S; solute carrier family 6 (neurotransmitter transporter, amino acid/orphan) member 15/16/17/18/20
ko:K05274    KCNMA3, KCNU1, KCA5.1; potassium large conductance calcium-activated channel subfamily M alpha member 3
ko:K05323    KCNKN; potassium channel subfamily K, invertebrate
ko:K05342    treP; alpha,alpha-trehalose phosphorylase [EC:2.4.1.64]
ko:K05387    GRIP; glutamate receptor, ionotropic, plant
ko:K05389    KCNKF; potassium channel subfamily K, other eukaryote
ko:K05847    opuA; osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]
ko:K05978    stpA; glucosylglycerol 3-phosphatase [EC:3.1.3.69]
ko:K06062    PCAF, KAT2, GCN5; histone acetyltransferase [EC:2.3.1.48]
ko:K06720    ectC; L-ectoine synthase [EC:4.2.1.108]
ko:K06995    K06995; uncharacterized protein
ko:K07636    phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
ko:K07646    kdpD; two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]
ko:K07651    resE; two-component system, OmpR family, sensor histidine kinase ResE [EC:2.7.13.3]
ko:K07676    rcsD; two-component system, NarL family, sensor histidine kinase RcsD [EC:2.7.13.3]
ko:K07678    barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]
ko:K07700    dpiB, citA; two-component system, CitB family, cit operon sensor histidine kinase CitA [EC:2.7.13.3]
ko:K08141    MAL; MFS transporter, SP family, general alpha glucoside:H+ symporter
ko:K08145    SLC2A8, GLUT8; MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 8
ko:K08150    SLC2A13, ITR; MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13
ko:K08155    SLC18A1_2, VMAT; MFS transporter, DHA1 family, solute carrier family 18 (vesicular amine transporter), member 1/2
ko:K08173    ydfJ; MFS transporter, MHS family, metabolite:H+ symporter
ko:K08202    SLC22A4_5, OCTN; MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 4/5
ko:K08479    sasA; two-component system, OmpR family, clock-associated histidine kinase SasA [EC:2.7.13.3]
ko:K08714    VGSC; voltage-gated sodium channel
ko:K09181    yfiQ; acetyltransferase
ko:K09864    AQP1; aquaporin-1
ko:K09994    phnO; (aminoalkyl)phosphonate N-acetyltransferase [EC:2.3.1.280]
ko:K10674    ectD; ectoine hydroxylase [EC:1.14.11.55]
ko:K10716    kch, trkA, mthK, pch; voltage-gated potassium channel
ko:K10819    E2.7.13.3; histidine kinase [EC:2.7.13.3]
ko:K10951    SLC12A2, NKCC1; solute carrier family 12 (sodium/potassium/chloride transporter), member 2
ko:K11231    SLN1; osomolarity two-component system, sensor histidine kinase SLN1 [EC:2.7.13.3]
ko:K11232    YPD1; osomolarity two-component system, phosphorelay intermediate protein YPD1
ko:K11268    ESCO, ECO1; N-acetyltransferase [EC:2.3.1.-]
ko:K11304    TIP60, KAT5, ESA1; histone acetyltransferase HTATIP [EC:2.3.1.48]
ko:K11308    MYST1, MOF, KAT8; histone acetyltransferase MYST1 [EC:2.3.1.48]
ko:K11356    cikA; two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]
ko:K11527    K11527; two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]
ko:K11737    cycA; D-serine/D-alanine/glycine transporter
ko:K11742    mdtI; spermidine export protein MdtI
ko:K11743    mdtJ; spermidine export protein MdtJ
ko:K11745    kefC; glutathione-regulated potassium-efflux system ancillary protein KefC
ko:K11747    kefB; glutathione-regulated potassium-efflux system protein KefB
ko:K12336    NPPC; natriuretic peptide C
ko:K13040    ttrS; two-component system, LuxR family, sensor histidine kinase TtrS [EC:2.7.13.3]
ko:K13057    treT; trehalose synthase [EC:2.4.1.245]
ko:K13359    FXYD4, CHIF; FXYD domain containing ion transport regulator 4
ko:K13598    ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]
ko:K13627    SLC12A7, KCC4; solute carrier family 12 (potassium/chloride transporter), member 7
ko:K13781    SLC7A8, LAT2; solute carrier family 7 (L-type amino acid transporter), member 8
ko:K13782    SLC7A10, ASC1; solute carrier family 7 (D/L-type amino acid transporter), member 10
ko:K14158    SLC5A1, SGLT1; solute carrier family 5 (sodium/glucose cotransporter), member 1
